unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
DRI|0001225208-26-006805|derivative|2026-07-26|Cardenas Ricardo|M|Restricted Stock Units (FY24 Annual Grant)|11286.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-29,2026-07-26,0001225208-26-006805,https://www.sec.gov/Archives/edgar/data/940944/000122520826006805/doc4.xml,derivative,2026-07-26,M,Restricted Stock Units (FY24 Annual Grant),11286.0000,0.0000,0.0,0.0000,D,Cardenas Ricardo,"Director, Officer, President and CEO",1,1,,President and CEO,SEC EDGAR
DRI|0001225208-26-006805|derivative|2026-07-27|Cardenas Ricardo|M|Performance Restricted Stock Units (FY23)|21426.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-29,2026-07-26,0001225208-26-006805,https://www.sec.gov/Archives/edgar/data/940944/000122520826006805/doc4.xml,derivative,2026-07-27,M,Performance Restricted Stock Units (FY23),21426.0000,0.0000,0.0,0.0000,D,Cardenas Ricardo,"Director, Officer, President and CEO",1,1,,President and CEO,SEC EDGAR
DRI|0001225208-26-006804|nonDerivative|2026-07-26|Burrowes Todd|M|Common Stock|2325.0000|0|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-29,2026-07-26,0001225208-26-006804,https://www.sec.gov/Archives/edgar/data/940944/000122520826006804/doc4.xml,nonDerivative,2026-07-26,M,Common Stock,2325.0000,0,0.0,46649.2830,D,Burrowes Todd,"Officer, Group Pres, Pres, Chuy's",,1,,"Group Pres, Pres, Chuy's",SEC EDGAR
DRI|0001225208-26-006804|nonDerivative|2026-07-26|Burrowes Todd|M|Common Stock|2257.0000|0|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-29,2026-07-26,0001225208-26-006804,https://www.sec.gov/Archives/edgar/data/940944/000122520826006804/doc4.xml,nonDerivative,2026-07-26,M,Common Stock,2257.0000,0,0.0,48906.2830,D,Burrowes Todd,"Officer, Group Pres, Pres, Chuy's",,1,,"Group Pres, Pres, Chuy's",SEC EDGAR
DRI|0001225208-26-006804|nonDerivative|2026-07-26|Burrowes Todd|F|Common Stock|889.0000|196.3100|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-29,2026-07-26,0001225208-26-006804,https://www.sec.gov/Archives/edgar/data/940944/000122520826006804/doc4.xml,nonDerivative,2026-07-26,F,Common Stock,889.0000,196.3100,174519.59,48017.2830,D,Burrowes Todd,"Officer, Group Pres, Pres, Chuy's",,1,,"Group Pres, Pres, Chuy's",SEC EDGAR
DRI|0001225208-26-006804|nonDerivative|2026-07-26|Burrowes Todd|F|Common Stock|915.0000|196.3100|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-29,2026-07-26,0001225208-26-006804,https://www.sec.gov/Archives/edgar/data/940944/000122520826006804/doc4.xml,nonDerivative,2026-07-26,F,Common Stock,915.0000,196.3100,179623.65,47102.2830,D,Burrowes Todd,"Officer, Group Pres, Pres, Chuy's",,1,,"Group Pres, Pres, Chuy's",SEC EDGAR
DRI|0001225208-26-006804|nonDerivative|2026-07-27|Burrowes Todd|M|Common Stock|6000.0000|0|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-29,2026-07-26,0001225208-26-006804,https://www.sec.gov/Archives/edgar/data/940944/000122520826006804/doc4.xml,nonDerivative,2026-07-27,M,Common Stock,6000.0000,0,0.0,53102.2830,D,Burrowes Todd,"Officer, Group Pres, Pres, Chuy's",,1,,"Group Pres, Pres, Chuy's",SEC EDGAR
DRI|0001225208-26-006804|nonDerivative|2026-07-27|Burrowes Todd|F|Common Stock|2361.0000|196.3100|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-29,2026-07-26,0001225208-26-006804,https://www.sec.gov/Archives/edgar/data/940944/000122520826006804/doc4.xml,nonDerivative,2026-07-27,F,Common Stock,2361.0000,196.3100,463487.91000000003,50741.2830,D,Burrowes Todd,"Officer, Group Pres, Pres, Chuy's",,1,,"Group Pres, Pres, Chuy's",SEC EDGAR
DRI|0001225208-26-006804|derivative|2026-07-26|Burrowes Todd|M|Performance Restricted Stock Units (FY24)|2325.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-29,2026-07-26,0001225208-26-006804,https://www.sec.gov/Archives/edgar/data/940944/000122520826006804/doc4.xml,derivative,2026-07-26,M,Performance Restricted Stock Units (FY24),2325.0000,0.0000,0.0,2325.0000,D,Burrowes Todd,"Officer, Group Pres, Pres, Chuy's",,1,,"Group Pres, Pres, Chuy's",SEC EDGAR
DRI|0001225208-26-006804|derivative|2026-07-26|Burrowes Todd|M|Restricted Stock Units (FY24 Annual Grant)|2257.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-29,2026-07-26,0001225208-26-006804,https://www.sec.gov/Archives/edgar/data/940944/000122520826006804/doc4.xml,derivative,2026-07-26,M,Restricted Stock Units (FY24 Annual Grant),2257.0000,0.0000,0.0,0.0000,D,Burrowes Todd,"Officer, Group Pres, Pres, Chuy's",,1,,"Group Pres, Pres, Chuy's",SEC EDGAR
DRI|0001225208-26-006804|derivative|2026-07-27|Burrowes Todd|M|Performance Restricted Stock Units (FY23)|6000.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-29,2026-07-26,0001225208-26-006804,https://www.sec.gov/Archives/edgar/data/940944/000122520826006804/doc4.xml,derivative,2026-07-27,M,Performance Restricted Stock Units (FY23),6000.0000,0.0000,0.0,0.0000,D,Burrowes Todd,"Officer, Group Pres, Pres, Chuy's",,1,,"Group Pres, Pres, Chuy's",SEC EDGAR
DGX|0001022079-26-000087|nonDerivative|2026-07-28|DELANEY MARK E|S|Common Stock|1600|235.18|D,2026-08-01 03:44:51+0000,DGX,QUEST DIAGNOSTICS INC,0001022079,4,2026-07-29,2026-07-28,0001022079-26-000087,https://www.sec.gov/Archives/edgar/data/1022079/000102207926000087/wk-form4_1785359086.xml,nonDerivative,2026-07-28,S,Common Stock,1600,235.18,376288.0,10335,D,DELANEY MARK E,"Officer, SVP & Chief Commercial Officer",0,1,0,SVP & Chief Commercial Officer,SEC EDGAR
CHTR|0001359115-26-000009|derivative|2026-07-27|Howard Kevin D|A|Stock Options|901|0|D,2026-08-01 03:44:51+0000,CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",0001091667,4,2026-07-29,2026-07-27,0001359115-26-000009,https://www.sec.gov/Archives/edgar/data/1091667/000135911526000009/wk-form4_1785356203.xml,derivative,2026-07-27,A,Stock Options,901,0,0.0,901,D,Howard Kevin D,"Officer, EVP/CAO/Controller",0,1,0,EVP/CAO/Controller,SEC EDGAR
CHTR|0001359115-26-000009|derivative|2026-07-27|Howard Kevin D|A|Restricted Stock Units|234|0|D,2026-08-01 03:44:51+0000,CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",0001091667,4,2026-07-29,2026-07-27,0001359115-26-000009,https://www.sec.gov/Archives/edgar/data/1091667/000135911526000009/wk-form4_1785356203.xml,derivative,2026-07-27,A,Restricted Stock Units,234,0,0.0,234,D,Howard Kevin D,"Officer, EVP/CAO/Controller",0,1,0,EVP/CAO/Controller,SEC EDGAR
CB|0001193125-26-323728|nonDerivative|2026-07-28|Wayland Joseph F|S|Common Shares|8502|364.54|D,2026-08-01 03:44:51+0000,CB,Chubb Ltd,0000896159,4,2026-07-29,2026-07-28,0001193125-26-323728,https://www.sec.gov/Archives/edgar/data/896159/000119312526323728/ownership.xml,nonDerivative,2026-07-28,S,Common Shares,8502,364.54,3099319.08,33749.354,D,Wayland Joseph F,Executive Vice President and*,false,true,false,Executive Vice President and*,SEC EDGAR
BKNG|0001229265-26-000020|nonDerivative|2026-07-28|WITTMAN VANESSA AMES|S|Common Stock|1125|192|D,2026-08-01 03:44:51+0000,BKNG,Booking Holdings Inc.,0001075531,4,2026-07-29,2026-07-28,0001229265-26-000020,https://www.sec.gov/Archives/edgar/data/1075531/000122926526000020/form4-07292026_040701.xml,nonDerivative,2026-07-28,S,Common Stock,1125,192,216000.0,16508,D,WITTMAN VANESSA AMES,,true,false,false,,SEC EDGAR
AMP|0001724756-26-000012|nonDerivative|2026-07-27|Williams William Jerryl|M|Common Stock|3634|126.89|D,2026-08-01 03:44:51+0000,AMP,AMERIPRISE FINANCIAL INC,0000820027,4,2026-07-29,2026-07-27,0001724756-26-000012,https://www.sec.gov/Archives/edgar/data/820027/000172475626000012/form4-07292026_080730.xml,nonDerivative,2026-07-27,M,Common Stock,3634,126.89,461118.26,20906.926,D,Williams William Jerryl,"Pres, Wealth Mgmt Advisor Grp",false,true,false,"Pres, Wealth Mgmt Advisor Grp",SEC EDGAR
AMP|0001724756-26-000012|nonDerivative|2026-07-27|Williams William Jerryl|F|Common Stock|2131|537.075|D,2026-08-01 03:44:51+0000,AMP,AMERIPRISE FINANCIAL INC,0000820027,4,2026-07-29,2026-07-27,0001724756-26-000012,https://www.sec.gov/Archives/edgar/data/820027/000172475626000012/form4-07292026_080730.xml,nonDerivative,2026-07-27,F,Common Stock,2131,537.075,1144506.8250000002,18775.926,D,Williams William Jerryl,"Pres, Wealth Mgmt Advisor Grp",false,true,false,"Pres, Wealth Mgmt Advisor Grp",SEC EDGAR
AMP|0001724756-26-000012|nonDerivative|2026-07-27|Williams William Jerryl|S|Common Stock|7888|537.0762|D,2026-08-01 03:44:51+0000,AMP,AMERIPRISE FINANCIAL INC,0000820027,4,2026-07-29,2026-07-27,0001724756-26-000012,https://www.sec.gov/Archives/edgar/data/820027/000172475626000012/form4-07292026_080730.xml,nonDerivative,2026-07-27,S,Common Stock,7888,537.0762,4236457.065599999,10887.926,D,Williams William Jerryl,"Pres, Wealth Mgmt Advisor Grp",false,true,false,"Pres, Wealth Mgmt Advisor Grp",SEC EDGAR
AMP|0001724756-26-000012|nonDerivative|2026-07-27|Williams William Jerryl|S|Common Stock|6|537.6067|D,2026-08-01 03:44:51+0000,AMP,AMERIPRISE FINANCIAL INC,0000820027,4,2026-07-29,2026-07-27,0001724756-26-000012,https://www.sec.gov/Archives/edgar/data/820027/000172475626000012/form4-07292026_080730.xml,nonDerivative,2026-07-27,S,Common Stock,6,537.6067,3225.6402000000003,10881.926,D,Williams William Jerryl,"Pres, Wealth Mgmt Advisor Grp",false,true,false,"Pres, Wealth Mgmt Advisor Grp",SEC EDGAR
AMP|0001724756-26-000012|nonDerivative|2026-07-28|Williams William Jerryl|M|Common Stock|10948|165.41|D,2026-08-01 03:44:51+0000,AMP,AMERIPRISE FINANCIAL INC,0000820027,4,2026-07-29,2026-07-27,0001724756-26-000012,https://www.sec.gov/Archives/edgar/data/820027/000172475626000012/form4-07292026_080730.xml,nonDerivative,2026-07-28,M,Common Stock,10948,165.41,1810908.68,21829.926,D,Williams William Jerryl,"Pres, Wealth Mgmt Advisor Grp",false,true,false,"Pres, Wealth Mgmt Advisor Grp",SEC EDGAR
AMP|0001724756-26-000012|nonDerivative|2026-07-28|Williams William Jerryl|F|Common Stock|6840|538.01|D,2026-08-01 03:44:51+0000,AMP,AMERIPRISE FINANCIAL INC,0000820027,4,2026-07-29,2026-07-27,0001724756-26-000012,https://www.sec.gov/Archives/edgar/data/820027/000172475626000012/form4-07292026_080730.xml,nonDerivative,2026-07-28,F,Common Stock,6840,538.01,3679988.4,14989.926,D,Williams William Jerryl,"Pres, Wealth Mgmt Advisor Grp",false,true,false,"Pres, Wealth Mgmt Advisor Grp",SEC EDGAR
AMP|0001724756-26-000012|nonDerivative|2026-07-28|Williams William Jerryl|S|Common Stock|4102|538.23|D,2026-08-01 03:44:51+0000,AMP,AMERIPRISE FINANCIAL INC,0000820027,4,2026-07-29,2026-07-27,0001724756-26-000012,https://www.sec.gov/Archives/edgar/data/820027/000172475626000012/form4-07292026_080730.xml,nonDerivative,2026-07-28,S,Common Stock,4102,538.23,2207819.46,10887.926,D,Williams William Jerryl,"Pres, Wealth Mgmt Advisor Grp",false,true,false,"Pres, Wealth Mgmt Advisor Grp",SEC EDGAR
AMP|0001724756-26-000012|nonDerivative|2026-07-28|Williams William Jerryl|S|Common Stock|3200|540.069|D,2026-08-01 03:44:51+0000,AMP,AMERIPRISE FINANCIAL INC,0000820027,4,2026-07-29,2026-07-27,0001724756-26-000012,https://www.sec.gov/Archives/edgar/data/820027/000172475626000012/form4-07292026_080730.xml,nonDerivative,2026-07-28,S,Common Stock,3200,540.069,1728220.7999999998,7687.926,D,Williams William Jerryl,"Pres, Wealth Mgmt Advisor Grp",false,true,false,"Pres, Wealth Mgmt Advisor Grp",SEC EDGAR
AMP|0001724756-26-000012|nonDerivative|2026-07-28|Williams William Jerryl|S|Common Stock|908|541.90|D,2026-08-01 03:44:51+0000,AMP,AMERIPRISE FINANCIAL INC,0000820027,4,2026-07-29,2026-07-27,0001724756-26-000012,https://www.sec.gov/Archives/edgar/data/820027/000172475626000012/form4-07292026_080730.xml,nonDerivative,2026-07-28,S,Common Stock,908,541.90,492045.19999999995,6779.926,D,Williams William Jerryl,"Pres, Wealth Mgmt Advisor Grp",false,true,false,"Pres, Wealth Mgmt Advisor Grp",SEC EDGAR
AMP|0001724756-26-000012|derivative|2026-07-27|Williams William Jerryl|M|Employee Stock Option (right to buy)|3634|0|D,2026-08-01 03:44:51+0000,AMP,AMERIPRISE FINANCIAL INC,0000820027,4,2026-07-29,2026-07-27,0001724756-26-000012,https://www.sec.gov/Archives/edgar/data/820027/000172475626000012/form4-07292026_080730.xml,derivative,2026-07-27,M,Employee Stock Option (right to buy),3634,0,0.0,0,D,Williams William Jerryl,"Pres, Wealth Mgmt Advisor Grp",false,true,false,"Pres, Wealth Mgmt Advisor Grp",SEC EDGAR
AMP|0001724756-26-000012|derivative|2026-07-28|Williams William Jerryl|M|Employee Stock Option (right to buy)|10948|0|D,2026-08-01 03:44:51+0000,AMP,AMERIPRISE FINANCIAL INC,0000820027,4,2026-07-29,2026-07-27,0001724756-26-000012,https://www.sec.gov/Archives/edgar/data/820027/000172475626000012/form4-07292026_080730.xml,derivative,2026-07-28,M,Employee Stock Option (right to buy),10948,0,0.0,2532,D,Williams William Jerryl,"Pres, Wealth Mgmt Advisor Grp",false,true,false,"Pres, Wealth Mgmt Advisor Grp",SEC EDGAR
ALLE|0001589039-26-000011|nonDerivative|2026-07-27|Eckersley Timothy P|S|Ordinary Shares|6417|157.26|D,2026-08-01 03:44:51+0000,ALLE,Allegion plc,0001579241,4,2026-07-29,2026-07-27,0001589039-26-000011,https://www.sec.gov/Archives/edgar/data/1579241/000158903926000011/wk-form4_1785355720.xml,nonDerivative,2026-07-27,S,Ordinary Shares,6417,157.26,1009137.4199999999,29919,D,Eckersley Timothy P,"Officer, President-Intl & SVP-Allegion",0,1,0,President-Intl & SVP-Allegion,SEC EDGAR
ABNB|0001193125-26-324172|nonDerivative|2026-07-27|Gebbia Joseph|S|Class A Common Stock|9481|143.7907|I,2026-08-01 03:44:51+0000,ABNB,"Airbnb, Inc.",0001559720,4,2026-07-29,2026-07-27,0001193125-26-324172,https://www.sec.gov/Archives/edgar/data/1559720/000119312526324172/ownership.xml,nonDerivative,2026-07-27,S,Class A Common Stock,9481,143.7907,1363279.6267,2084037,I,Gebbia Joseph,,true,false,true,,SEC EDGAR
ABNB|0001193125-26-324172|nonDerivative|2026-07-27|Gebbia Joseph|S|Class A Common Stock|29569|144.559|I,2026-08-01 03:44:51+0000,ABNB,"Airbnb, Inc.",0001559720,4,2026-07-29,2026-07-27,0001193125-26-324172,https://www.sec.gov/Archives/edgar/data/1559720/000119312526324172/ownership.xml,nonDerivative,2026-07-27,S,Class A Common Stock,29569,144.559,4274465.0709999995,2054468,I,Gebbia Joseph,,true,false,true,,SEC EDGAR
ABNB|0001193125-26-324172|nonDerivative|2026-07-27|Gebbia Joseph|S|Class A Common Stock|134683|145.5977|I,2026-08-01 03:44:51+0000,ABNB,"Airbnb, Inc.",0001559720,4,2026-07-29,2026-07-27,0001193125-26-324172,https://www.sec.gov/Archives/edgar/data/1559720/000119312526324172/ownership.xml,nonDerivative,2026-07-27,S,Class A Common Stock,134683,145.5977,19609535.0291,1919785,I,Gebbia Joseph,,true,false,true,,SEC EDGAR
ABNB|0001193125-26-324172|nonDerivative|2026-07-27|Gebbia Joseph|S|Class A Common Stock|91167|146.4102|I,2026-08-01 03:44:51+0000,ABNB,"Airbnb, Inc.",0001559720,4,2026-07-29,2026-07-27,0001193125-26-324172,https://www.sec.gov/Archives/edgar/data/1559720/000119312526324172/ownership.xml,nonDerivative,2026-07-27,S,Class A Common Stock,91167,146.4102,13347778.7034,1828618,I,Gebbia Joseph,,true,false,true,,SEC EDGAR
ABNB|0001193125-26-324172|nonDerivative|2026-07-27|Gebbia Joseph|S|Class A Common Stock|100|147.03|I,2026-08-01 03:44:51+0000,ABNB,"Airbnb, Inc.",0001559720,4,2026-07-29,2026-07-27,0001193125-26-324172,https://www.sec.gov/Archives/edgar/data/1559720/000119312526324172/ownership.xml,nonDerivative,2026-07-27,S,Class A Common Stock,100,147.03,14703.0,1828518,I,Gebbia Joseph,,true,false,true,,SEC EDGAR
ABNB|0001193125-26-324172|nonDerivative|2026-07-28|Gebbia Joseph|S|Class A Common Stock|304332|150.7309|I,2026-08-01 03:44:51+0000,ABNB,"Airbnb, Inc.",0001559720,4,2026-07-29,2026-07-27,0001193125-26-324172,https://www.sec.gov/Archives/edgar/data/1559720/000119312526324172/ownership.xml,nonDerivative,2026-07-28,S,Class A Common Stock,304332,150.7309,45872236.2588,1524186,I,Gebbia Joseph,,true,false,true,,SEC EDGAR
ABNB|0001193125-26-324172|nonDerivative|2026-07-28|Gebbia Joseph|S|Class A Common Stock|1155748|151.5514|I,2026-08-01 03:44:51+0000,ABNB,"Airbnb, Inc.",0001559720,4,2026-07-29,2026-07-27,0001193125-26-324172,https://www.sec.gov/Archives/edgar/data/1559720/000119312526324172/ownership.xml,nonDerivative,2026-07-28,S,Class A Common Stock,1155748,151.5514,175155227.4472,368438,I,Gebbia Joseph,,true,false,true,,SEC EDGAR
ABNB|0001193125-26-324172|nonDerivative|2026-07-28|Gebbia Joseph|S|Class A Common Stock|154593|152.4337|I,2026-08-01 03:44:51+0000,ABNB,"Airbnb, Inc.",0001559720,4,2026-07-29,2026-07-27,0001193125-26-324172,https://www.sec.gov/Archives/edgar/data/1559720/000119312526324172/ownership.xml,nonDerivative,2026-07-28,S,Class A Common Stock,154593,152.4337,23565182.9841,213845,I,Gebbia Joseph,,true,false,true,,SEC EDGAR
ABNB|0001193125-26-324172|nonDerivative|2026-07-28|Gebbia Joseph|S|Class A Common Stock|213630|153.1123|I,2026-08-01 03:44:51+0000,ABNB,"Airbnb, Inc.",0001559720,4,2026-07-29,2026-07-27,0001193125-26-324172,https://www.sec.gov/Archives/edgar/data/1559720/000119312526324172/ownership.xml,nonDerivative,2026-07-28,S,Class A Common Stock,213630,153.1123,32709380.649,215,I,Gebbia Joseph,,true,false,true,,SEC EDGAR
VLTO|0001320730-26-000012|derivative|2026-07-24|Williams Thomas|A|Veralto Non-Employee Directors' Deferred Compensation Plan|183|92.02|D,2026-08-01 03:44:51+0000,VLTO,Veralto Corp,0001967680,4,2026-07-28,2026-07-24,0001320730-26-000012,https://www.sec.gov/Archives/edgar/data/1967680/000132073026000012/wk-form4_1785283344.xml,derivative,2026-07-24,A,Veralto Non-Employee Directors' Deferred Compensation Plan,183,92.02,16839.66,183,D,Williams Thomas,Director,1,0,0,,SEC EDGAR
VLTO|0001862680-26-000004|derivative|2026-07-24|Wallis-Lage Cindy L.|A|Veralto Non-Employee Directors' Deferred Compensation Plan|38|92.02|D,2026-08-01 03:44:51+0000,VLTO,Veralto Corp,0001967680,4,2026-07-28,2026-07-24,0001862680-26-000004,https://www.sec.gov/Archives/edgar/data/1967680/000186268026000004/wk-form4_1785283310.xml,derivative,2026-07-24,A,Veralto Non-Employee Directors' Deferred Compensation Plan,38,92.02,3496.7599999999998,38,D,Wallis-Lage Cindy L.,Director,1,0,0,,SEC EDGAR
VLTO|0001339142-26-000005|derivative|2026-07-24|MITTS HEATH A|A|Veralto Non-Employee Directors' Deferred Compensation Plan|154|92.02|D,2026-08-01 03:44:51+0000,VLTO,Veralto Corp,0001967680,4,2026-07-28,2026-07-24,0001339142-26-000005,https://www.sec.gov/Archives/edgar/data/1967680/000133914226000005/wk-form4_1785283260.xml,derivative,2026-07-24,A,Veralto Non-Employee Directors' Deferred Compensation Plan,154,92.02,14171.08,154,D,MITTS HEATH A,Director,1,0,0,,SEC EDGAR
UAL|0000100517-26-000159|nonDerivative|2026-07-25|Nocella Andrew P|A|Common Stock|21404|0|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000159,https://www.sec.gov/Archives/edgar/data/100517/000010051726000159/wk-form4_1785284919.xml,nonDerivative,2026-07-25,A,Common Stock,21404,0,0.0,236749,D,Nocella Andrew P,"Officer, EVP & Chief Commercial Officer",0,1,0,EVP & Chief Commercial Officer,SEC EDGAR
UAL|0000100517-26-000159|nonDerivative|2026-07-25|Nocella Andrew P|F|Common Stock|9594|118.27|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000159,https://www.sec.gov/Archives/edgar/data/100517/000010051726000159/wk-form4_1785284919.xml,nonDerivative,2026-07-25,F,Common Stock,9594,118.27,1134682.38,227155,D,Nocella Andrew P,"Officer, EVP & Chief Commercial Officer",0,1,0,EVP & Chief Commercial Officer,SEC EDGAR
UAL|0000100517-26-000159|nonDerivative|2026-07-28|Nocella Andrew P|S|Common Stock|4200|120.48|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000159,https://www.sec.gov/Archives/edgar/data/100517/000010051726000159/wk-form4_1785284919.xml,nonDerivative,2026-07-28,S,Common Stock,4200,120.48,506016.0,222955,D,Nocella Andrew P,"Officer, EVP & Chief Commercial Officer",0,1,0,EVP & Chief Commercial Officer,SEC EDGAR
UAL|0000100517-26-000158|nonDerivative|2026-07-25|Leskinen Michael D.|A|Common Stock|17837|0|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000158,https://www.sec.gov/Archives/edgar/data/100517/000010051726000158/wk-form4_1785284913.xml,nonDerivative,2026-07-25,A,Common Stock,17837,0,0.0,65337,D,Leskinen Michael D.,"Officer, EVP & Chief Financial Officer",0,1,0,EVP & Chief Financial Officer,SEC EDGAR
UAL|0000100517-26-000158|nonDerivative|2026-07-25|Leskinen Michael D.|F|Common Stock|7901|118.27|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000158,https://www.sec.gov/Archives/edgar/data/100517/000010051726000158/wk-form4_1785284913.xml,nonDerivative,2026-07-25,F,Common Stock,7901,118.27,934451.27,57436,D,Leskinen Michael D.,"Officer, EVP & Chief Financial Officer",0,1,0,EVP & Chief Financial Officer,SEC EDGAR
UAL|0000100517-26-000155|nonDerivative|2026-07-25|KIRBY J SCOTT|A|Common Stock|71347|0|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000155,https://www.sec.gov/Archives/edgar/data/100517/000010051726000155/wk-form4_1785284894.xml,nonDerivative,2026-07-25,A,Common Stock,71347,0,0.0,869198,D,KIRBY J SCOTT,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
UAL|0000100517-26-000155|nonDerivative|2026-07-25|KIRBY J SCOTT|F|Common Stock|28076|118.27|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000155,https://www.sec.gov/Archives/edgar/data/100517/000010051726000155/wk-form4_1785284894.xml,nonDerivative,2026-07-25,F,Common Stock,28076,118.27,3320548.52,841122,D,KIRBY J SCOTT,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
UAL|0000100517-26-000157|nonDerivative|2026-07-25|Hart Brett J|A|Common Stock|46375|0|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000157,https://www.sec.gov/Archives/edgar/data/100517/000010051726000157/wk-form4_1785284905.xml,nonDerivative,2026-07-25,A,Common Stock,46375,0,0.0,417958,D,Hart Brett J,"Officer, President",0,1,0,President,SEC EDGAR
UAL|0000100517-26-000157|nonDerivative|2026-07-25|Hart Brett J|F|Common Stock|20543|118.27|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000157,https://www.sec.gov/Archives/edgar/data/100517/000010051726000157/wk-form4_1785284905.xml,nonDerivative,2026-07-25,F,Common Stock,20543,118.27,2429620.61,397415,D,Hart Brett J,"Officer, President",0,1,0,President,SEC EDGAR
UAL|0000100517-26-000157|nonDerivative|2026-07-27|Hart Brett J|M|Common Stock|21521|77.56|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000157,https://www.sec.gov/Archives/edgar/data/100517/000010051726000157/wk-form4_1785284905.xml,nonDerivative,2026-07-27,M,Common Stock,21521,77.56,1669168.76,418936,D,Hart Brett J,"Officer, President",0,1,0,President,SEC EDGAR
UAL|0000100517-26-000157|nonDerivative|2026-07-27|Hart Brett J|F|Common Stock|17245|120.57|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000157,https://www.sec.gov/Archives/edgar/data/100517/000010051726000157/wk-form4_1785284905.xml,nonDerivative,2026-07-27,F,Common Stock,17245,120.57,2079229.65,401691,D,Hart Brett J,"Officer, President",0,1,0,President,SEC EDGAR
UAL|0000100517-26-000157|nonDerivative|2026-07-28|Hart Brett J|S|Common Stock|30108|120.72|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000157,https://www.sec.gov/Archives/edgar/data/100517/000010051726000157/wk-form4_1785284905.xml,nonDerivative,2026-07-28,S,Common Stock,30108,120.72,3634637.76,371583,D,Hart Brett J,"Officer, President",0,1,0,President,SEC EDGAR
UAL|0000100517-26-000157|nonDerivative|2026-07-28|Hart Brett J|G|Common Stock|7461|0|D,2026-08-01 03:44:51+0000,UAL,"United Airlines Holdings, Inc.",0000100517,4,2026-07-28,2026-07-25,0000100517-26-000157,https://www.sec.gov/Archives/edgar/data/100517/000010051726000157/wk-form4_1785284905.xml,nonDerivative,2026-07-28,G,Common Stock,7461,0,0.0,364122,D,Hart Brett J,"Officer, President",0,1,0,President,SEC EDGAR
